word,definition,translation
xerocopy,,n. 静电复印件
xerocoty,,"[计] 静电, 静电复制"
xeroderma,n. a mild form of ichthyosis characterized by abnormal dryness and roughness of the skin,"n. 干皮病, 皮肤干燥病\n[医] 干皮病, 皮肤干燥病"
xeroderma ichthyotica,,[医] 鳞癣性干皮病
xeroderma of Kaposi,,"[医] 卡波济氏干皮病, 着色性干皮病"
xeroderma pigmentosum,,"[医] 着色性干皮病, 着色性皮萎缩"
xerodermatic,,"[医] 干皮病的, 皮肤干燥的"
xerodermia,n a mild form of ichthyosis characterized by abnormal dryness and roughness of the skin,"[医] 干皮病, 皮肤干燥病"
xerodermic,,干皮病的
xerodermosteosis,,"[医]干皮性骨化病, 干皮性骨质生成"
xeroform,,"n. 干仿, 三溴酚铋, 塞罗仿\n[医] 塞罗仿, 三溴酚铋"
xerogel,,干凝胶
xerogram,,干式影印副本
xerograph,,"[计] 干印法, 静电印刷术"
xerographic,a. of or relating to xerography,a. 静电印刷(术)\n[计] 静电的
xerographic copier,,[网络] 静电复印机
xerographic copy,,[计] 静电阴刷拷贝
xerographic material,,[化] 静电复印材料
xerographic printer,,[计] 静电复印机
xerographic recording,,[计] 静电印刷
xerographically,,静电印刷术
xerography,n. forming an image by the action of light on a specially coated charged plate; the latent image is developed with powders that adhere only to electrically charged areas,n. 静电复印术\n[计] 静电复印术; 干印法
xeroll,,[地质]干热软土
xeroma,n abnormal dryness of the conjunctiva and cornea of the eyes; may be due to a systemic deficiency of vitamin A,"n. [医] 干性眼炎, 干眼病"
xeromenia,,"干经, 干性月经"
xeromorph,,"n. [植]旱生型, 旱生植物"
xeromorphic,,"a. [植]旱性结构的, 旱生型的"
xeromorphism,,旱生形态
xeromorphy,,n. 旱性形态植物
xeromycteria,,[医] 鼻干燥
xeronic acid,,[化] 干酮酸; 二乙基丁烯二酸
xeronosus,,[医] 干燥病
xerophagia,,"[医] 干食, 干食法"
xerophagy,"n. Among the primitive Christians, the living on a diet of\n   dry food in Lent and on other fasts.",n. [宗](东派教会尊奉的)严斋
xerophil,,n. 旱生植物
xerophile,n plant adapted for life with a limited supply of water; compare hydrophyte and mesophyte,n. 旱生植物
xerophilization,,旱生化
xerophilous,a. Drought-loving; able withstand the absence or lack of\n   moisture.,"a. 适旱的, 好旱的, 旱栖的"
xerophilous plant,, 喜旱植物，适旱植物
xerophily,,n. [生]适旱性
xerophobia,,[医] 恐怖性唾液分泌停止
xerophobous,,a. [植]避旱的
xerophorbium,,冻原
xerophthalmia,n. abnormal dryness of the conjunctiva and cornea of the eyes; may be due to a systemic deficiency of vitamin A,"n. 眼干燥, 干眼病\n[医] 眼干燥, 干眼病"
xerophthalmia parenchymatosa,,[医] 眼球实质干燥
xerophthalmia superficialis,,[医] 眼球表面干燥
xerophthalmic,,xerophthalmia的变形
xerophthalmus,n abnormal dryness of the conjunctiva and cornea of the eyes; may be due to a systemic deficiency of vitamin A,"[医] 眼干燥, 干眼病"
Xerophyllum,,[网络] 旱叶百合属；北美药草；百合科旱叶草
Xerophyllum tenax,,[网络] 百合科旱叶百合属；熊草；旱叶草
xerophylophilous,,栖旱林的
xerophyte,n plant adapted for life with a limited supply of water; compare hydrophyte and mesophyte,n. 旱生植物
xerophytes,plural of xerophyte\nn plant adapted for life with a limited supply of water; compare hydrophyte and mesophyte,(xerophyte 的复数) n. 旱生植物
xerophytia,,旱地群落
xerophytic,s adapted to a xeric (or dry) environment, 旱生性的
xerophytic plant,,[网络] 干旱植物
xerophytism,,"n. 适旱性, 喜旱性"
xerophytization,,旱生植物化
xeropoium,,干草原
xeroprinting,,[电] 干式印刷
xeroradiogram,,干板X线片
xeroradiograph,,n. 静电放射拍摄的照片
xeroradiography,n. radiography using X-rays and xerographic (rather than roentgenographic) techniques,n. 干放射性照相术\n[医] 干板X线照相术
xeroradiogrphy,,[电] 干式放射照相法
xerosere,,n. [植]旱生演替系列
xerosin,,角膜干燥菌素
xerosis,,n. 干燥病\n[医] 干燥[病]
xerosis conjunctivae,,"[医] 结膜干燥, 眼干燥"
xerosis corneae,,[医] 角膜干燥
xerosis cutis,,"[医] 皮肤干燥, 皮肤皮脂缺乏[症]"
xerosis epithelialis conjunctivae,,[医] 结膜上皮干燥
xerosis epithelialis corneae,,[医] 角膜上皮干燥
xerosis infantilis,,[医] 幼儿眼干燥
xerosis parenchymatosus,,[医] 实质性结膜干燥(沙眼引起结膜瘢痕及泪管闭塞所致)
xerosis pilorum,,[医] 毛发干燥
xerosis superficialis,,[医] 眼球表面干燥
xerosol,,干旱土
xerospore,,干孢子
xerostomia,n abnormal dryness of the mouth resulting from decreased secretion of saliva,n. [医] 口腔干燥
xerotes,n the condition of not containing or being covered by a liquid (especially water),[医] 干燥
xerothermic,,"a. 干热的, 适于干热环境的"
xerotic,,"a. 干燥病的, 有干燥特征的"
xerotic keratitis,,[医] 干燥性角膜炎(角膜软化前)
xerotocia,,[医] 干产
xerotripsis,,[医] 干擦
xerox,n. a copy made by a xerographic printer\nn. a duplicator (trade mark Xerox) that copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder,v. 静电复印
xerox copy,, 电子复制文件
xerox data system,,[计] 静电印刷数据系统
Xerox machine,,[网络] 复印机；静电复印机；求购复印机
Xerox Network Service,,[计] 施乐网络服务系统
Xerox Network System,,"Xerox网络系统,(由Xerox开发的一个网络系统)"
xeroxed,v reproduce by xerography,"v. 复印, 影印( Xerox的过去式和过去分词 )"
xeroxes,plural of xerox\nn. a copy made by a xerographic printer\nn. a duplicator (trade mark Xerox) that copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder,(xerox 的复数) vt. 静电复印\nvi. 静电复印
xeroxing,v reproduce by xerography,n. 复印的
xerransis,,"除湿,干燥(状态)"
xers,plural of xer,(xer 的复数) abbr. Xerox reproduction 静电印刷复制品
Xerult,,干热老成土
xerus,, [医]干毛地松鼠
XERXES,,n. 薛西斯；赛瑟斯（波斯王）
Xerxes I,,un. 泽克西斯一世\n[网络] 薛西斯一世；薛西一世；波斯王薛西斯一世
Xerxes the Great,,[网络] 薛西斯大帝；薛西斯一世
Xestobium rufovillosum,,[网络] 红毛窃蠹
xf,,abbr. 特优（形容白兰地酒的规格）（Extra Fine）
XFD,"It refers to [XD], which is supposed to be a new [lol], but it is a lot funnier. It means: X(Fucking)D.\n> Bob tripped up, and landed in a pile of cow manure face first.\n> Me: XFD\n",
XFER,,"[计] 传输, 传递, 转移"
xfire,"A new IM client that allows users to see which games their buddies are playing.  Certain games allow instant joining into your friends' games.  Now generally considered AIM for gamers.\r\n\r\nwww.xfire.com\n> Because I use Xfire, now I can see which games my friends are playing.\n",
xfl,,abbr. Extreme Football League 超级足球联赛（代号）; X-ray fluorescence X射线荧光
xfr,," [计]= Transfer,转移，传送，转换"
xg,,abbr. crossing 横越，交叉口（代号）
xga,, 扩展视频图形适配器
xh,,abbr. extra hard 特硬的（代号）; extra heavy 特重的（代号）; extra high 特高的（代号）
xhosa,n. a member of the Negroid people of southern South Africa\nn. a community of Negroid people in southern South Africa\nn. a Bantu language closely related to Zulu,n. 科萨人使用的班图语；科萨人（居住在南非开普省的牧民）
xhosas,plural of xhosa\nn. a member of the Negroid people of southern South Africa\nn. a community of Negroid people in southern South Africa\nn. a Bantu language closely related to Zulu,(xhosa 的复数) n. 科萨人使用的班图语；科萨人（居住在南非开普省的牧民）
xhtml,,abbr. 扩展超文本标识语言（The Extensible HyperText Markup Language）；结构层代码
xi,n. the 14th letter of the Greek alphabet,n. 希腊字母的第14个字母；粒子（等于xi particle）
xi hyperon,,[化] Ξ超子
Xi'an,,西安
xia,,abbr. X 波段[频带]干扰仪天线（X-band Interferometer Antenna）
xiah,,n. 东方神起成员细亚俊秀
Xiahou Dun,"A guy who got shot in the eye with an arrow, and then pulled the arrow out, with his eye on it AND ATE IT, because\r\n1) His mother gave it to him\r\n2) He's such a badass\n> ""Ow my eye. Oh well, my mother gave it to me""\n> *Chomp*\n",
xial skeleton,,[医] 中轴骨胳(头与脊柱的骨胳)
Xiamen,,厦门[福建省](旧译Amoy)
xian,n. a city of central China; capital of ancient Chinese empire 221-206 BC,n. 西安（中国地名）
xiang,,湘、象等同音中文字的拼音
Xianggang,,香港(亦作Hong Kong 或Hongkong)
Xiangtan,,湘潭[湖南省](旧译Siangtan)
xiao,,箫
xiaonei,,n. 校内网（网站名）
Xiaoping,,邓小平
Xiaoqujiu,,[化] 小曲酒
Xiat,"A very popular EP written by Trevor Moran, based off of his own personal expierences. The song itself (XIAT) was based off of his anxiety and struggles.\n> #BUYXIATONITUNES IT SLAYS THE CHARTS!\n",
xibornol,,[化] 希波酚; 异冰片二甲酚
xie,,n. 谢（中国姓氏名）
xii,n the cardinal number that is the sum of eleven and one\ns denoting a quantity consisting of 12 items or units,num. 罗马数字 12
xiii,n the cardinal number that is the sum of twelve and one\ns being one more than twelve,num. 罗马数字 13
xilf,x-ray i'd like to fuck\n> Nurse - So what did you break?\n> Chuck Norris - Someone's face\n> Billy - Ohhh it hurts.... He freakin roundhouse kicked me!\n> Nurse - Here put your face on the table to take an x-ray\n> Chuck Norris - Holy shit thats the finest xilf i've ever seen!\n> Nurse - You can't see x-rays they're invisible.\n> Chuck Norris - Maybe to you mortals but I'm Chuck Norris\n> Nurse - Oh yeah sorry i forgot.\n,
xilinx,, 赛灵思
ximen,, [医]郄门
ximena,beautiful/gorgeous/amazing girl. big brown eyes that sparkle when she's happy. one of the greatest personality you'll ever meet. always going to be there for you when you need a shoulder. whenever she likes a guy she sticks to them. Party Animal by heart. Loves to have a great time. one of the people you wont regret meeting. amazing friend/girlfriend. also great at sports.\n> she has an amazing personality ! must be a Ximena.\n,
Ximenes,,希梅内斯(即Jiménez de Cisneros)
Ximenesia encelioides,,[网络] 西红柿
Ximenia,,[医] 西门木属(铁青树科)
ximenic acid,,[化] 西门木烯酸; 二十六碳-17-烯酸
ximenynic acid,,[化] 西门木炔酸; 11-十八碳烯-9-炔酸
xin,,n. 兴宁（城市名）
Xin Hua lime,,[化] 新华石灰
Xinca,,"n. 辛卡人(印第安之一族),辛卡语"
xing,,"n. 侨兴环球（公司名字, 已在美国纳斯达克上市）"
xingjian,, [医]行间
Xingu,,n. 兴谷河(巴西中北部一河流)
Xinhua,,[经] 新华社
Xining,,西宁[青海省](旧译Sining或Hsining)
Xinjiang,n. an autonomous province in far northwestern China on the border with Mongolia and Kazakhstan; the largest province in the People's Republic of China and the homeland of the Uighur people,新疆(位于中国西北部)
Xinjiang Uighur Autonomous Region,,[网络] 新疆维吾尔自治区
Xiomara,"A loving person who cares about others. Gets along with people as irrtating as they may be. Is a romantic and loves to use sweet words towards her lover;that person is very lucky as well. Truthful with friends and always an optimistic thinker. Outgoing and one of a kind. Lover not fighter but will do whatever it takes to set things right. May be small but has the hugest of hearts. May be the best person to ever get to know. Knows what she wants and does what she can to get it. Mysterious and charming. Can't be fooled. Will always be by your side. Help her find happiness;she will cherish you forever. Gets over guys fast but is a sucker for love. She is a person that needs to be figured out but be careful you might fall in love doing so.\n> ""you know xiomara can always be counted on.""\n> [heart][soul][happiness][faithful][love][crazy][fun]\n",
xiong,,n. 熊\n[网络] 敻；英；顾敻顾兄顾雄顾熊
xipamide,,[化] 希帕胺; 氯磺水杨胺
xiphi,,"[医] 剑, 剑突"
Xiphias,n type genus of the Xiphiidae,"n. 旗鱼属, 剑座"
Xiphias gladius,,[网络] 剑鱼；冻剑鱼；箭鱼
xiphidin,,[化] 箭鱼精肉毒胺
xiphihumeralis,,"剑肱骨, 剑突肱骨肌"
Xiphiidae,,[网络] 剑旗鱼科；剑鱼科；箭鱼科
xiphin,,剑鱼精蛋白
xiphiplastron,"n. The posterior, or fourth, lateral plate in the\n   plastron of turtles; -- called also xiphisternum.",剑腹甲
xiphisterna,pl.  of Xiphisternum,"n. 剑胸骨( xiphisternum的名词复数 ); [医]剑突, 剑胸骨"
xiphisternal,,[医] 剑突的
xiphisternal crunching sound,,[医] 剑突摩擦音
xiphisternal joints,,[医] 剑突胸骨关节
xiphisternum,"n. The posterior segment, or extremity, of the sternum;\n   -- sometimes called metasternum, ensiform cartilage, ensiform process,\n   or xiphoid process.\nn. The xiphiplastron.",n. [解][动]剑胸骨
xiphium iris,,[网络] ium虹
xipho-,,"[医] 剑, 剑突"
xiphocostal,,[医] 剑突肋骨的
xiphocostal ligaments,,[医] 肋剑突韧带
xiphodidymus,,[医] 剑突联胎
Xiphodon,"n. An extinct genus of artiodactylous mammals found in the\n   European Tertiary formations. It had slender legs, didactylous feet,\n   and small canine teeth.",n. 剑齿兽
xiphodymus,,[医] 剑突联胎
xiphodynia,,[医] 剑突痛
xiphoid,a. Like a sword; ensiform.\na. Of or pertaining to the xiphoid process; xiphoidian.,n. 剑突\na. 剑状的
xiphoid angles,,[医] 肋弓角
xiphoid appendices,,[医] 剑突
xiphoid cartilages,,[医] 胸骨剑突
xiphoid ligament,,[医] 肋剑突韧带
xiphoid ligaments,,[医] 肋剑突韧带
xiphoid process,,剑突
xiphoidalgia,,[医] 剑突痛
xiphoiditis,,[医] 剑突炎
xiphopagotomy,,[医] 剑突联胎切分术
xiphopagus,,[医] 剑突联胎
Xiphophorus test,,[医] 剑鱼试验(检雄激素)
xiphophyllous,a. Having sword-shaped leaves.,a. [植]有剑状叶的
xiphosternal crunch,,[医] 剑突磨擦音
xiphosura,n. pl. See Xiphura.,n. 剑尾类动物
xiphosuran,,n. 剑尾目动物\na. 剑尾目动物的
Xiphosurus polyphemus,,[网络] 紫
xiphura,n. pl. Same as Limuloidea. Called also Xiphosura.,n. (=Xiphosura)剑尾类动物
Xiphydriidae,,长颈树蜂科
xir,,abbr. X-linked lymphocyte-regulated X-连锁淋巴调节
xis,n. the cardinal number that is the sum of ten and one\nn. the 14th letter of the Greek alphabet,abbr. xenon infrared searchlight 氙红外探照灯
Xishuangbanna Dai,,[网络] 西双版纳黛
xist,, [医]X染色体失活特异转录本
xistor,,[电] 晶体管
Xitlalli,"Star of love: In the Aztec land, known as a princess, Daughter of a God. Short and loving princess; Forgiving and amazing god believer. Fallows nothing but herself, and can never fall out of love. Doesn't give up. Friendly young lady; Short for Lolli or Lolli pop.\n> Aztec Princess, The star of love. Xitlalli.\n",
Xitlaly,"Xitlaly is the girl of every mans dreams. She's strong and independent and always stays true to her ideals, however when she lets down her walls, she can be the cutest most innocent girl ever. Xitlaly is beautiful mind, body and soul, shes down to earth, caring, and uniquely charming . Anyone who gets the chance to earn her love will be the luckiest person in the world.\n> Did you hear Xitlaly already has four guys that want to go to formal with her, thats so Xitlaly.\n> That girl is so [lovely], she takes my breath away, she must be a Xitlaly.\n> Dang, [Citlali] means the world to me, I love her\n",
Xiumin,"The stage name of Kim Minseok, he's part of a 12 member South Korean/Chinese boy group called EXO and his power is frost and his badge is a snowflake. He was born on March 26th 1990 making him a 23 year old man with the face of a squishy 5 year old boy. His most well-known nickname give by a co-member [luhan], is ""Baozi"" which means 'little bun/meat bun' in Chinese mainly because he has cute chubby cheeks.\r\nXiumin is Korean but he is the Chinese sub-unit of EXO (EXO-M) along with another fellow Korean member, [Chen]. In EXO-M, he is the neatest, strongest, funniest and cleanest member according to interviews. He looks quite a lot like Ahn Sohee from the Wonder Girls.\n\nXiumin's also known for being able to get really high notes, as seen from his battle with vocalists [Chen] and [Baekhyun], however SM Entertainment still won't let him have many lines in their songs.\n> Person 1: Who's your bias in [exo]?\n> Person 2: Ah, Baozi, of course! Xiumin is my favorite~!\n",
xiv,n the cardinal number that is the sum of thirteen and one\ns being one more than thirteen,num. 罗马数字 14
xix,n the cardinal number that is the sum of eighteen and one\ns being one more than eighteen,num. 罗马数字 19
xixs,-s form of xix\nn the cardinal number that is the sum of eighteen and one\ns being one more than eighteen,(xix 的第三人称 -s形式) num. 罗马数字 19
Xizang,n an autonomous region of the Peoples Republic of China; located in the Himalayas,西藏(位于中国西南部)
xj,,abbr. Manchester 曼彻斯特（代号）; Mesaba Airlines 梅莎巴航空公司（代码）; Xinjiang <中国>新疆
Xjawz,Was once upon a time a very enjoyable CoD commentator on YouTube but has slowly degenerated into a double sided twerp that loves drama and picking on people that are smaller than him.\n> Xjawz bullied iFly for masturbating for money and thought it was wrong of Ifly to do that but once he started to date a pornstar it was perfectly fine.\n,
xjokerz,"A dude that has no life other than sitting on message boards all day long, bumping threads at the end of the night to boost his post count higher because it makes him feel like less of an ass muncher.  \r\n\r\nWill die alone with a picture of himself in the mirror.\n> You just pulled a XJokerz by reporting his ass, don't you feel real cool now?\n",
xkcd,"1. Saving a few seconds at a long red light via elaborate and questionably legal maneuvers.\r\n2. Having someone call your cell phone to figure out where it is.\r\n3. Calling the Ackermann Function with Graham's Number as the argument just to horrify mathematicians.\r\n4. Instinctively constructing rules for which floor tiles it's okay to step on and then walking funny ever after\n> ""That is so XKCD.""\n> xkcd.com\n",
xKore,The greatest fucking Dubstep artist of all time and space.\n> Did u hear that amazing tune? must be another xKore.\n,
xl,n the cardinal number that is the product of ten and four\ns being ten more than thirty,abbr. 特大号（extra large）
xlc,,abbr. xenon lamp collimator 氙灯平行光管，氙灯准直仪
XLed,,"abbr. extra large 特大号,特大的；extra long"
xli,s being one more than forty,abbr. extra-low interstitial 特低空隙
xlii,,[网络] 四十二；缁嗘矙；小说主角同名
xliii,,[网络] 超级碗冠军；超级碗最有价值球员
xliv,,[网络] 四十四；超级碗最有价值球员；制造讽刺的描述
xll,, 可扩展链接语言
xlphisternum,,[医] 剑突
xls,n the cardinal number that is the product of ten and four,n. [计]Microsoft Excel工作簿格式
xlt,,abbr. excellent 卓越的; 极好的; 优秀的（代号）; xenon laser tube 氙激光管
xlv,,[网络] Xavier-Louis Vuitton; 第四十五; 医疗保健产业指数型基金
xlvi,,[网络] 四十六
xlvii,,[网络] 四十七；超级碗冠军；超级碗最有价值球员
xlviii,,[网络] 四十八
XM,,[计] 执行节点
xma,,abbr. X-ray microanalysis X射线微（量）分析; X-ray microscopic analysis X射线显微分析; X-ray microanalyzer X射线微（量）分析仪; X-ray microprobe analysis X射线微探针分析
xman,,n. 变种特工（专辑名）
Xmas,"n a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland",n. 圣诞节
xmitter,,[电] 发射机
xml,,abbr. 可扩展标示语言（Extensive Makeup Language）
xmm,,abbr. X-ray multiple mirror X射线多面镜
Xmodem,,[计] Xmodem协议
Xmodem/CRC,,[计] Xmodem/CRC协议
XMP,,[化] 黄苷酸; 黄苷一磷酸
xms,,abbr. 扩展内存规范（extended Memory Specification ）
XMS memory,,[计] 扩充内存
XMS memory locked,,[计] 扩充内存锁定
xmtr,,n.  xmitter发射机的缩写
xn,,abbr. 无新股票权（ex new）
XNS,,[计] 施乐网络服务系统
Xnxx,"The greatest porn site ever, it's free, there are over 1,000,000 videos.\n> ""Dude i stayed up last night watching videos on this site, xnxx, it's the ""SHIT!""\n",
xo,,abbr. 藏窖年份40-75年的白兰地规格（extra old）
xoanon,,n. 木雕神像
xochimilco,, [地名] [墨西哥] 霍奇米尔科
xochitl,A name from the country of Mexico that comes from the Nahuatl culture.\r\nThe meaning in general is flower.\r\nFrom the Mayan culture means princess of the flowers.\r\nFrom the Aztec culture means water flower.\r\nHard to pronounce by English speaking people.\r\nA beautiful name.\r\nXochilt will be a misspelling of xochitl.\n> Hey my name is Xochitl.\n,
Xograph,,"(照片、图画等)立体复印, 立体复印法"
xography,,n. x摄影法(一种产生立体影像的摄影法)
xom,, [医][=extraocular movements]眼外运动
xoma,,abbr. XOMA Corporation 美国生物技术公司(XOMA公司)
xon,, 发送朴通
XON/XOFF,,[计] XON/XOFF协议
xonotlite,,硬硅钙石
xor,,abbr. “异”或（逻辑运算）（Exclusive OR）
XOR circuit,,[网络] 异或电路
XOR gate,,[网络] 异或门；互斥闸；互斥或门
xos,,abbr. extra outside clothing 多余的户外衣服（代号）; extra outsize (clothing) 超特大号（衣服）（代号）
xox,"Hugs (the letter 'o') and kisses (the letter 'x'), often repeated over and over, depending on the amount of affection one wants to give.\n> I love you! xoxoxoxoxoxoxoxoxox!\n",
xoxo,,"亲亲抱抱（网络用语, 等于kisses and hugs）"
XOXOHTH,"A bunch of intelligent but smarmy prestige whores, with a smattering of racists and perverts.  They ostensibly discuss law school and admissions once in a while.\n> I have been addicted to xoxohth for 2 years and counting.\n",
xoxota,pussy in portuguese. more used in northeast of Brazil. similar: xota\n> she has a beautiful xoxota!\n,
xoxoxo,"Hugs And Kisses\r\nX=Kisses\r\no=Huges\n> xoxo gossip girl\n> after an email, sms or some type of text; end it with xoxoxo name.\n",
xoxoxoxo,"a shortened form of *hugs and kisses* the x's represent the hugs, and the o's represent the kisses.  Normally used online when you dont want to type or simply cant reach the person.\n> *online chat*  Well, this sucks, i have to leave. xoxoxoxo, bye.\n",
xoybutyria,,羟丁酸尿
xp,,abbr. 加快费已付（Express Paid）；运用优先权（Exercise Priority）
xpg,,abbr. converted merchant ship 改装商船，改装舰船（美国海军舰船符号）; X/Open portability guide X/Open 可移植性指南
XPL,,[计] XPL语言
xpo,,abbr. Cristo (Spanish=Christ) （西班牙语）救世主
XPS,,[化] X射线光电子能谱; X射线光电子能谱学
xq,,"abbr. 交叉问题, 相互提问（Cross-Question）"
XR,,[计] 外部复位
xray,,n. X光
xrays,plural of xray,(xray 的复数) n. X光
xrd,,abbr. X-ray diffraction X射线衍射
xrep,,abbr. auxiliary report 辅助报告（代号）
xrf,,abbr. X-ray fluorescence X射线荧光
xrfs,,abbr. X-ray fluorescence spectrometer X射线荧光分光计
xrn,,abbr. X-linked recessive nephrolithiasis X-连锁隐性肾石病
xrs,,abbr. X-ray sensitive X-射线敏感的
xrt,,abbr. ex-rights 除权; 没有权利（代号）; without rights 没有权利（代号）; X-ray technician X射线技师
XS,n the cardinal number that is the sum of nine and one; the base of the decimal system\nn the 24th letter of the Roman alphabet\nn street names for methylenedioxymethamphetamine,[计] 余三码
xse,,"abbr. Sebba, Burkina Faso 布基纳法索，塞巴机场（代码）"
xshare,"xshare.com is strictly for finding pornographic videos.\n> xshare is strictly for finding pornographic videos.\n> noun.\n> 1. The REAL Mecca for free Pornographic videos.\n> 2. My motherfucking homepage.\n> 1. ""All I want to see is free creampie action, WTF?""\n> ""xshare FTMFW, dude.""\n> 2. Should be self-explanatory, I like to see pussy and ass when my browser starts up.\n",
xsl,,abbr. 可扩展样式表语言（Extensible Stylesheet Language）
xslt,,abbr. extensible stylesheet language transformation 可扩展样式表语言变换（代号）
xsmn,,[电] 输送
XSoVulcanBlader,"When a little boy *refer to Yehiko* makes a Beyblade batte video on Youtube and talks in a ""deeper"" voice while commentating the battle. Saying things as ""There you have it!""\n> Another awesome Beyblade battle. By XSoVulcanBlader\n",
xsp,, [医][=xanthoma striatum palmare]掌纹黄瘤
xt,n the presence of an unwanted signal via an accidental coupling,abbr. 串音（Cross Talk）
xtal,,[电] 晶体
xtc,, [医][=xylene trichloride]三氯代二甲苯
xtd,,abbr. extend 伸长，延长，扩大（代号）
xte,," [医][=xeroderma,talipes,enamel(defect)]干皮病、畸形足、釉质（缺损）"
xti,,abbr. crosstalk input 串音输入（代号）; crosstell input 对话输入（代号）; X/Open transmission interface X/Open 传输接口
xtina,a poorly thought out nickname for christina aguilera.. christmas is xmas so she thought xtina is christina\r\nit SHOULD be xina since its nos xtmas..\n> xtina means CHRISTTINA NOT CHRISTINA!\n,
xto,,abbr. X-band triode oscillator X波段三级真空管振荡器
xtp,," [计]= eXpress Transfer Protocol,快速传送协议"
xtr,," [计]= eXTRa,[修]特别的，额外的，附加的"
xtra,,n. [电讯]字母X
xtreme,,n. 播放器
Xtrykr,Xtrykr is the online alias for Ernest Kwan as of July 2007. All other Xtrykr's are fake.\n\nXtrykr is pronounced as Striker.\n> I am Xtrykr.\n,
xts,," [计]= CrossTell Simulator,对话模拟器"
Xtube,"A adult version ""you tube"". Web site has home made porn.\n> God damn, look at that fine ass lady getting fucked on xtube.\n",
xtv,,abbr. X-ray television X射线电视
xu,,n. 北越货币单位；许（姓氏）
xuan,,n. (Xuan)人名；(越)春
Xuan paper,,[化] 宣纸
xue,,雪（汉语拼音）
Xujiahui,,n. (地名)徐家汇
xun,,n. 荀（汉语拼音）
Xuthus,,n. [希神]苏托斯(传说中雅典的爱奥尼亚的始祖)
xuv,,abbr. extreme ultraviolet 超紫外（线）的（代号）
Xuzhou,,n. 徐州（中国地名）
xv,n the cardinal number that is the sum of fourteen and one\ns being one more than fourteen,n. 罗马数字之十五；十五人组成的球队
xvi,n the cardinal number that is the sum of fifteen and one\ns being one more than fifteen,num. 罗马数字 16
xvid,,n. 一种多媒体文件压缩格式
xvideos,"A great slept on porn site without any virus.. its easily one the top 5 next to, PornHub,Redtube,Youporn,Xhamster\n> Jim: Hey dude got any porn sites getting tired of of the usual sites\n> Bob: sure check out xvideos.com its porn hub but on steroids\n> Jim: Thanks dude\n> Bob: np :p\n",
xvii,n the cardinal number that is the sum of sixteen and one\ns being one more than sixteen,num. 罗马数字 17
xviii,n the cardinal number that is the sum of seventeen and one\ns being one more than seventeen,num. 罗马数字 18
xvx,"[vegan] [straightedge]. a lifestyle which includes abstainence from all use of drugs, alcohol, and animal products/biproducts.\n> Earth Crisis was one of the first militant xvx bands.\n",
xw,,abbr. 无认股证书（ex warrants）
XWindows,,[计] XWindows软件系统
xx,n. (genetics) normal complement of sex chromosomes in a female,"abbr. 血型（xue xing, 汉语拼音）"
xxi,n the cardinal number that is the sum of twenty and one\ns being one more than twenty,num. 罗马数字 21
xxii,n the cardinal number that is the sum of twenty-one and one\ns being two more than twenty,num. 罗马数字 22
xxiii,,[网络] 二十三；致谢；尽职尽责
xxiv,,[网络] 八乡乡事委员会；锦田乡事委员会
xxix,n the cardinal number that is the sum of twenty-eight and one\ns being nine more than twenty,num. 罗马数字 29
xxl,,abbr. 特大号；超超大（Extra Extra Large）
xxv,n the cardinal number that is the sum of twenty-four and one\ns being five more than twenty,num. 罗马数字 25
xxvi,,[网络] 二十六；二十七；硼酸酯
xxvii,,[网络] 二十七；手作皮件
xxviii,,[网络] 二十八；起；香港行
xxx,n. (genetics) abnormal complement of three X chromosomes in a female,num. 罗马数字30
XxxHolic,"Pronounced like ""holic"" as in ""alcoholic."" A manga by the artistic group [CLAMP]. It is published in Young Magazine. The main character Watanuki is haunted by visions of spirits, and seeks help from a strange shop that grants wishes...for a price. Watanuki's price is to work as an indentured servant for the shop owner (the time-space witch, Yuuko) until he can pay off the debt for his wish. Often referrred to as ""CLAMP's goth manga.""\n> Did you read the newest chapter of XxxHolic?\n",
xxxi,s being one more than thirty,num. 罗马数字 31
xxxii,,[网络] 香港行；三十四连接；三十四
xxxiii,,[网络] 序言；晋文称霸；印章
xxxiv,s being four more than thirty,num. 罗马数字 34
xxxix,,num. 罗马数字 39
xxxv,s being five more than thirty,num. 罗马数字 35
xxxvi,,[网络] 人类困境的方法
xxxvii,,[网络] 炒杂碎
xxxviii,,[网络] 三十八；芝麻街；异丙烯基丙酮
xxxx,," [医]Four X syndrome,四X综合征"
xxy,, [医][=an abnormal sex chromosome type]一种异常性染色体组型（克氏综合征中常见）; [电影]双性传奇/我是女生，也是男生
XXY-syndrome,,[网络] 综合征
xy,n. (genetics) normal complement of sex hormones in a male,n. 正常男性染色体组型
xy plotter,,[电] XY绘图器
xy recorder,,[电] XY记录器
xy-cut crystal,,[电] XY截面晶体
Xyelidae,,长节锯蜂科
Xyep,"Narsistically self consentration .\r\n\r\nXyep , -ing, -ed \n> I xyeped in the darkness and bleeded tears for my own sake.\n",
xylamide,"n. An acid amide derivative of xylic acid, obtained as a\n   white crystalline substance.", [医]Proglumide
xylan,,n. [植]木聚糖
xylanase,,木聚糖酶
